id,user_id,gender,phone_number,address,date_of_birth,photo_url,created_at,updated_at
PRFL001,USR001,L,08577446660,"Jl. Ronggowarsito No. 240, Payakumbuh, RI 65043",1984-06-16,https://cdn.dummyumkm.id/photos/PRFL001.jpg,2022-07-16 18:43:51,2022-12-26 18:43:51
PRFL002,USR002,L,+628575842824,"Gang Gardujati No. 678, Sawahlunto, Sulawesi Utara 81427",1979-12-05,https://cdn.dummyumkm.id/photos/PRFL002.jpg,2022-03-26 13:09:54,2022-12-24 13:09:54
PRFL003,USR003,L,08571353465,"Gang Jayawijaya No. 17, Sibolga, Bengkulu 62115",1980-03-08,https://cdn.dummyumkm.id/photos/PRFL003.jpg,2022-12-06 08:21:40,2023-03-09 08:21:40
PRFL004,USR004,P,+628533816846,,2003-07-27,https://cdn.dummyumkm.id/photos/PRFL004.jpg,2023-11-08 01:56:29,2024-09-01 01:56:29
PRFL005,USR005,L,08135217525,"Jl. Antapani Lama No. 9, Banda Aceh, Kalimantan Selatan 87403",1994-08-30,https://cdn.dummyumkm.id/photos/PRFL005.jpg,2023-09-14 09:42:23,2024-07-01 09:42:23
PRFL006,USR006,L,08122966667,"Gang Jakarta No. 337, Blitar, Jawa Timur 84115",2000-01-07,https://cdn.dummyumkm.id/photos/PRFL006.jpg,2022-02-24 08:23:03,2022-05-16 08:23:03
PRFL007,USR007,P,08573354216,"Gg. Ahmad Dahlan No. 75, Payakumbuh, LA 65680",1976-10-21,https://cdn.dummyumkm.id/photos/PRFL007.jpg,2021-03-28 21:31:04,2021-12-24 21:31:04
PRFL008,USR008,L,08516257532,"Gang Lembong No. 78, Cimahi, RI 73777",1982-05-20,https://cdn.dummyumkm.id/photos/PRFL008.jpg,2021-04-13 19:41:24,2021-12-02 19:41:24
PRFL009,USR009,,+628131506489,"Gang Setiabudhi No. 663, Metro, Maluku Utara 85698",1984-06-29,https://cdn.dummyumkm.id/photos/PRFL009.jpg,2021-11-27 07:17:31,2022-03-15 07:17:31
PRFL010,USR010,P,08227230461,,1986-09-08,https://cdn.dummyumkm.id/photos/PRFL010.jpg,2021-08-10 22:38:20,2022-03-11 22:38:20
PRFL011,USR011,P,08533934835,"Jl. Sukabumi No. 94, Lhokseumawe, SG 15297",1991-12-11,https://cdn.dummyumkm.id/photos/PRFL011.jpg,2023-06-28 02:56:43,2023-08-27 02:56:43
PRFL012,USR012,P,,"Gg. Veteran No. 475, Mataram, Jawa Barat 43362",1992-06-21,https://cdn.dummyumkm.id/photos/PRFL012.jpg,2021-08-03 21:22:52,2022-04-06 21:22:52
PRFL013,USR013,P,,"Jl. Sukabumi No. 379, Makassar, RI 95139",1997-05-31,https://cdn.dummyumkm.id/photos/PRFL013.jpg,2021-08-26 10:20:14,2021-10-11 10:20:14
PRFL014,USR014,P,,"Jalan Tubagus Ismail No. 02, Pariaman, Nusa Tenggara Timur 71552",1973-03-23,https://cdn.dummyumkm.id/photos/PRFL014.jpg,2022-08-21 17:09:54,2023-01-19 17:09:54
PRFL015,USR015,P,08110225579,"Jalan Bangka Raya No. 905, Salatiga, ST 00784",1996-10-15,https://cdn.dummyumkm.id/photos/PRFL015.jpg,2023-05-10 09:45:22,2023-10-17 09:45:22
PRFL016,USR016,L,+628527621202,"Gg. Suniaraja No. 3, Gorontalo, Kepulauan Bangka Belitung 09213",1967-04-22,https://cdn.dummyumkm.id/photos/PRFL016.jpg,2023-04-15 03:42:17,2023-11-05 03:42:17
PRFL017,USR017,P,+628572771670,"Gang Ahmad Yani No. 397, Tebingtinggi, YO 09647",1991-07-17,https://cdn.dummyumkm.id/photos/PRFL017.jpg,2022-11-07 09:13:24,2023-05-20 09:13:24
PRFL018,USR018,L,08575889163,"Gg. Rungkut Industri No. 39, Samarinda, Sulawesi Utara 28992",1988-09-08,https://cdn.dummyumkm.id/photos/PRFL018.jpg,2022-02-14 03:51:19,2022-12-06 03:51:19
PRFL019,USR019,L,+628532175354,"Jl. Dipenogoro No. 214, Palu, BT 91778",2006-11-19,https://cdn.dummyumkm.id/photos/PRFL019.jpg,2023-08-30 08:52:51,2023-09-26 08:52:51
PRFL020,USR020,L,08537517016,"Jalan M.T Haryono No. 31, Langsa, LA 85706",1972-06-14,https://cdn.dummyumkm.id/photos/PRFL020.jpg,2022-08-04 20:31:07,2023-03-19 20:31:07
PRFL021,USR021,P,08577550375,"Gg. Lembong No. 1, Bengkulu, DI Yogyakarta 39941",2006-11-16,https://cdn.dummyumkm.id/photos/PRFL021.jpg,2021-01-01 21:19:18,2021-06-05 21:19:18
PRFL022,USR022,L,08574885102,"Gg. Jayawijaya No. 0, Makassar, BA 96981",1987-12-28,https://cdn.dummyumkm.id/photos/PRFL022.jpg,2022-04-23 16:57:27,2022-06-20 16:57:27
PRFL023,USR023,L,08533516091,"Jl. Tebet Barat Dalam No. 8, Langsa, PA 33800",1985-05-08,https://cdn.dummyumkm.id/photos/PRFL023.jpg,2021-05-14 01:23:31,2021-07-14 01:23:31
PRFL024,USR024,P,08967829221,"Gang Rajiman No. 72, Sabang, SU 52528",1977-11-06,https://cdn.dummyumkm.id/photos/PRFL024.jpg,2021-07-15 08:41:30,2021-08-08 08:41:30
PRFL025,USR025,L,08227226984,"Jl. Surapati No. 666, Salatiga, Nusa Tenggara Timur 33972",1982-11-03,https://cdn.dummyumkm.id/photos/PRFL025.jpg,2023-03-31 17:06:16,2023-08-05 17:06:16
PRFL026,USR026,L,08575228851,"Gg. Indragiri No. 66, Malang, AC 12817",2001-09-15,https://cdn.dummyumkm.id/photos/PRFL026.jpg,2023-12-08 16:07:46,2024-03-19 16:07:46
PRFL027,USR027,P,08116200342,"Jalan Raya Setiabudhi No. 7, Bima, SS 38849",1986-06-03,https://cdn.dummyumkm.id/photos/PRFL027.jpg,2022-08-04 02:07:31,2023-03-08 02:07:31
PRFL028,USR028,L,,"Gg. Jamika No. 00, Langsa, BA 42316",1970-04-05,https://cdn.dummyumkm.id/photos/PRFL028.jpg,2021-04-10 11:03:30,2021-07-23 11:03:30
PRFL029,USR029,L,08218406665,"Jalan Rungkut Industri No. 3, Pariaman, SN 85782",1990-09-02,https://cdn.dummyumkm.id/photos/PRFL029.jpg,2021-04-21 06:48:50,2021-08-13 06:48:50
PRFL030,USR030,L,08963347212,"Jalan Ciumbuleuit No. 2, Banjarmasin, SR 03993",1973-01-16,https://cdn.dummyumkm.id/photos/PRFL030.jpg,2022-05-29 07:16:01,2022-12-03 07:16:01
PRFL031,USR031,P,08220572025,"Jalan Setiabudhi No. 714, Binjai, Kalimantan Utara 36641",1989-03-12,https://cdn.dummyumkm.id/photos/PRFL031.jpg,2023-04-18 16:05:53,2023-08-31 16:05:53
PRFL032,USR032,L,08212818268,"Jl. Lembong No. 087, Dumai, Aceh 09731",1979-09-07,https://cdn.dummyumkm.id/photos/PRFL032.jpg,2022-01-13 11:35:37,2022-02-19 11:35:37
PRFL033,USR033,P,08968780157,"Jl. Monginsidi No. 07, Kota Administrasi Jakarta Timur, MA 08887",1974-12-15,https://cdn.dummyumkm.id/photos/PRFL033.jpg,2023-10-21 16:39:27,2024-04-22 16:39:27
PRFL034,USR034,P,08524840858,"Gang Suryakencana No. 105, Singkawang, MU 13900",1977-07-12,https://cdn.dummyumkm.id/photos/PRFL034.jpg,2021-03-26 03:38:53,2021-10-07 03:38:53
PRFL035,USR035,L,08111336138,"Jalan Moch. Toha No. 3, Ternate, SR 85972",1993-04-26,https://cdn.dummyumkm.id/photos/PRFL035.jpg,2022-06-12 02:07:04,2023-03-02 02:07:04
PRFL036,USR036,L,08112481934,"Jalan Sadang Serang No. 31, Binjai, BE 98454",2007-12-09,https://cdn.dummyumkm.id/photos/PRFL036.jpg,2022-11-28 21:31:31,2023-02-14 21:31:31
PRFL037,USR037,P,08961901581,"Gg. Cempaka No. 24, Parepare, Papua Barat 67907",1995-08-28,https://cdn.dummyumkm.id/photos/PRFL037.jpg,2021-04-28 02:33:08,2021-06-27 02:33:08
PRFL038,USR038,P,08136842450,"Gg. Siliwangi No. 8, Pematangsiantar, ST 78504",1980-04-08,https://cdn.dummyumkm.id/photos/PRFL038.jpg,2023-10-11 01:43:25,2023-10-26 01:43:25
PRFL039,USR039,,08585368222,"Gang R.E Martadinata No. 1, Salatiga, Sumatera Barat 34030",1996-12-02,https://cdn.dummyumkm.id/photos/PRFL039.jpg,2022-01-03 04:51:58,2022-10-10 04:51:58
PRFL040,USR040,L,+628787814141,"Jalan Merdeka No. 97, Kota Administrasi Jakarta Utara, Papua Barat 89804",1973-04-30,https://cdn.dummyumkm.id/photos/PRFL040.jpg,2021-04-02 02:05:10,2021-04-29 02:05:10
PRFL041,USR041,L,,"Gg. Kendalsari No. 507, Purwokerto, KT 18341",2002-11-15,https://cdn.dummyumkm.id/photos/PRFL041.jpg,2022-12-08 19:56:29,2023-01-28 19:56:29
PRFL042,USR042,P,08516205336,"Gang Veteran No. 1, Pekalongan, SU 37117",1998-02-13,https://cdn.dummyumkm.id/photos/PRFL042.jpg,2023-05-14 08:32:41,2024-03-08 08:32:41
PRFL043,USR043,L,08579142834,"Jalan Indragiri No. 54, Kota Administrasi Jakarta Pusat, KI 41801",1993-09-30,https://cdn.dummyumkm.id/photos/PRFL043.jpg,2021-04-01 20:24:54,2021-09-04 20:24:54
PRFL044,USR044,L,08210848872,"Gg. M.H Thamrin No. 28, Cilegon, SB 40652",2003-03-06,https://cdn.dummyumkm.id/photos/PRFL044.jpg,2021-03-19 21:26:30,2022-01-10 21:26:30
PRFL045,USR045,L,,"Gg. Sukabumi No. 4, Singkawang, Gorontalo 81375",1990-08-03,https://cdn.dummyumkm.id/photos/PRFL045.jpg,2021-03-30 08:37:27,2021-10-19 08:37:27
PRFL046,USR046,P,08137503731,"Gang Laswi No. 01, Solok, Papua Barat 98557",1971-04-24,https://cdn.dummyumkm.id/photos/PRFL046.jpg,2021-04-16 13:45:52,2021-07-16 13:45:52
PRFL047,USR047,L,,"Jalan Pasirkoja No. 9, Samarinda, JT 30926",1984-02-24,https://cdn.dummyumkm.id/photos/PRFL047.jpg,2023-06-04 23:02:19,2024-01-22 23:02:19
PRFL048,USR048,P,08789266591,"Jalan Sadang Serang No. 982, Singkawang, Sulawesi Barat 39104",2000-11-21,https://cdn.dummyumkm.id/photos/PRFL048.jpg,2023-06-26 16:52:48,2023-11-13 16:52:48
PRFL049,USR049,L,08960827231,"Jalan Jend. A. Yani No. 0, Pematangsiantar, JI 82201",1979-11-25,https://cdn.dummyumkm.id/photos/PRFL049.jpg,2022-05-04 01:37:24,2022-10-27 01:37:24
PRFL050,USR050,P,08511777392,"Jalan Pacuan Kuda No. 82, Manado, Kalimantan Selatan 14823",2003-11-12,https://cdn.dummyumkm.id/photos/PRFL050.jpg,2022-12-12 06:34:03,2023-02-10 06:34:03
PRFL051,USR051,,08138699041,"Jalan Pelajar Pejuang No. 411, Malang, Riau 30643",1988-05-10,https://cdn.dummyumkm.id/photos/PRFL051.jpg,2023-05-25 13:55:27,2024-02-11 13:55:27
PRFL052,USR052,P,08139842579,"Jalan Kendalsari No. 398, Tarakan, Sulawesi Tengah 72198",1998-09-09,https://cdn.dummyumkm.id/photos/PRFL052.jpg,2022-06-27 03:59:32,2023-01-23 03:59:32
PRFL053,USR053,P,08961279908,"Jl. PHH. Mustofa No. 70, Dumai, Banten 00945",1970-06-30,https://cdn.dummyumkm.id/photos/PRFL053.jpg,2022-11-12 16:42:17,2023-07-28 16:42:17
PRFL054,USR054,L,08576865086,"Gg. Cempaka No. 13, Kota Administrasi Jakarta Utara, JT 48417",2006-06-11,https://cdn.dummyumkm.id/photos/PRFL054.jpg,2023-10-13 22:00:15,2023-10-13 22:00:15
PRFL055,USR055,P,08124986430,"Jl. Kendalsari No. 14, Jambi, Sulawesi Utara 53555",1998-04-25,https://cdn.dummyumkm.id/photos/PRFL055.jpg,2021-06-10 21:59:04,2022-03-31 21:59:04
PRFL056,USR056,L,08529448695,"Jl. Cikapayang No. 2, Sungai Penuh, Papua 32747",1978-09-04,https://cdn.dummyumkm.id/photos/PRFL056.jpg,2023-05-10 09:40:20,2023-10-18 09:40:20
PRFL057,USR057,P,08787449562,"Gang Jend. A. Yani No. 55, Mojokerto, DKI Jakarta 64400",1970-07-14,https://cdn.dummyumkm.id/photos/PRFL057.jpg,2021-11-13 06:39:28,2022-08-25 06:39:28
PRFL058,USR058,L,08518902601,"Jalan Peta No. 008, Sungai Penuh, Bali 83369",2004-08-12,https://cdn.dummyumkm.id/photos/PRFL058.jpg,2021-03-20 21:55:12,2021-05-10 21:55:12
PRFL059,USR059,P,08529849027,"Jalan Astana Anyar No. 9, Dumai, KR 39971",1995-06-06,https://cdn.dummyumkm.id/photos/PRFL059.jpg,2022-06-03 03:53:20,2022-07-13 03:53:20
PRFL060,USR060,P,08513021465,"Gg. Dr. Djunjunan No. 22, Singkawang, SN 56057",1988-03-13,https://cdn.dummyumkm.id/photos/PRFL060.jpg,2022-11-18 08:49:18,2023-03-16 08:49:18
PRFL061,USR061,P,08789554393,"Gg. Raya Setiabudhi No. 781, Palu, KS 67495",1995-03-14,https://cdn.dummyumkm.id/photos/PRFL061.jpg,2023-12-10 11:04:43,2024-01-25 11:04:43
PRFL062,USR062,P,08228947697,"Jl. Moch. Toha No. 5, Gorontalo, DI Yogyakarta 66906",1983-11-16,https://cdn.dummyumkm.id/photos/PRFL062.jpg,2021-08-19 01:20:11,2022-06-01 01:20:11
PRFL063,USR063,L,08213565880,"Gang Stasiun Wonokromo No. 03, Meulaboh, JI 15722",1999-07-13,https://cdn.dummyumkm.id/photos/PRFL063.jpg,2021-03-03 23:23:19,2021-11-04 23:23:19
PRFL064,USR064,L,08219423733,"Jalan Sukabumi No. 614, Metro, BE 32357",1971-05-22,https://cdn.dummyumkm.id/photos/PRFL064.jpg,2022-07-04 10:05:42,2022-12-26 10:05:42
PRFL065,USR065,P,08127908075,"Gang Pacuan Kuda No. 348, Banjarmasin, PB 02196",1982-06-24,https://cdn.dummyumkm.id/photos/PRFL065.jpg,2021-08-29 02:09:57,2022-02-27 02:09:57
